E,H,I,R,S,Time
174,0,76,71,9679,5.00226
175,0,76,71,9678,5.00606
176,0,76,71,9677,5.02627
176,0,75,72,9677,5.02786
177,0,75,72,9676,5.02952
178,0,75,72,9675,5.03767
179,0,75,72,9674,5.0441
178,0,76,72,9674,5.04557
177,0,77,72,9674,5.04832
177,0,76,73,9674,5.05464
177,0,75,74,9674,5.07387
176,0,76,74,9674,5.08342
176,0,75,75,9674,5.1094
175,0,76,75,9674,5.11324
176,0,76,75,9673,5.13812
177,0,76,75,9672,5.13867
178,0,76,75,9671,5.14373
179,0,76,75,9670,5.18248
178,0,77,75,9670,5.18507
177,0,78,75,9670,5.18586
178,0,78,75,9669,5.18848
179,0,78,75,9668,5.18981
178,0,79,75,9668,5.19186
179,0,79,75,9667,5.20801
180,0,79,75,9666,5.25323
180,0,78,76,9666,5.25858
179,0,79,76,9666,5.26145
179,0,78,77,9666,5.2655
180,0,78,77,9665,5.26941
180,0,77,78,9665,5.27224
181,0,77,78,9664,5.27672
182,0,77,78,9663,5.28383
182,0,76,79,9663,5.28443
183,0,76,79,9662,5.28809
183,0,75,80,9662,5.29381
182,0,76,80,9662,5.30344
181,0,77,80,9662,5.30383
182,0,77,80,9661,5.31221
181,0,78,80,9661,5.31345
182,0,78,80,9660,5.32307
181,0,79,80,9660,5.34761
182,0,79,80,9659,5.35795
181,0,80,80,9659,5.37202
180,0,81,80,9659,5.39848
181,0,81,80,9658,5.40766
182,0,81,80,9657,5.40789
182,0,80,81,9657,5.41182
182,0,79,82,9657,5.41726
182,0,78,83,9657,5.42594
183,0,78,83,9656,5.42633
184,0,78,83,9655,5.42941
183,0,79,83,9655,5.43391
182,0,80,83,9655,5.43782
183,0,80,83,9654,5.44815
184,0,80,83,9653,5.45724
185,0,80,83,9652,5.45773
184,0,81,83,9652,5.46374
183,0,82,83,9652,5.46726
182,0,83,83,9652,5.4721
183,0,83,83,9651,5.48113
184,0,83,83,9650,5.48849
183,0,84,83,9650,5.50122
184,0,84,83,9649,5.50607
185,0,84,83,9648,5.53006
186,0,84,83,9647,5.53702
187,0,84,83,9646,5.53735
188,0,84,83,9645,5.54547
189,0,84,83,9644,5.54705
190,0,84,83,9643,5.56373
191,0,84,83,9642,5.57162
192,0,84,83,9641,5.58707
193,0,84,83,9640,5.59534
192,0,85,83,9640,5.59845
193,0,85,83,9639,5.59928
194,0,85,83,9638,5.63865
195,0,85,83,9637,5.63956
194,0,86,83,9637,5.64542
193,0,87,83,9637,5.65006
193,0,86,84,9637,5.6508
194,0,86,84,9636,5.65269
193,0,87,84,9636,5.65654
194,0,87,84,9635,5.66463
195,0,87,84,9634,5.68106
196,0,87,84,9633,5.68272
196,0,86,85,9633,5.6946
195,0,87,85,9633,5.69954
196,0,87,85,9632,5.7103
195,0,88,85,9632,5.72248
196,0,88,85,9631,5.73162
197,0,88,85,9630,5.74639
197,0,87,86,9630,5.74708
198,0,87,86,9629,5.75391
198,0,86,87,9629,5.76284
199,0,86,87,9628,5.76747
200,0,86,87,9627,5.76919
201,0,86,87,9626,5.78643
202,0,86,87,9625,5.79521
202,0,85,88,9625,5.79901
203,0,85,88,9624,5.79999
204,0,85,88,9623,5.8047
203,0,86,88,9623,5.80664
204,0,86,88,9622,5.81239
204,0,85,89,9622,5.82189
203,0,86,89,9622,5.8338
202,0,87,89,9622,5.83405
203,0,87,89,9621,5.84344
202,0,88,89,9621,5.85514
203,0,88,89,9620,5.85783
203,0,87,90,9620,5.88096
204,0,87,90,9619,5.88365
205,0,87,90,9618,5.92371
206,0,87,90,9617,5.93474
207,0,87,90,9616,5.93607
206,0,88,90,9616,5.94093
205,0,89,90,9616,5.94325
204,0,90,90,9616,5.94708
205,0,90,90,9615,5.97636
204,0,91,90,9615,5.9896
203,0,92,90,9615,5.99265
202,0,93,90,9615,5.99758
203,0,93,90,9614,6.00082
202,0,94,90,9614,6.00849
201,0,95,90,9614,6.01491
201,0,94,91,9614,6.03979
200,0,95,91,9614,6.04411
201,0,95,91,9613,6.04861
202,0,95,91,9612,6.04984
201,0,96,91,9612,6.05089
202,0,96,91,9611,6.05738
201,0,97,91,9611,6.06129
202,0,97,91,9610,6.06621
201,0,98,91,9610,6.07379
202,0,98,91,9609,6.07493
201,0,99,91,9609,6.07994
201,0,98,92,9609,6.09016
202,0,98,92,9608,6.09987
203,0,98,92,9607,6.10679
203,0,97,93,9607,6.10736
204,0,97,93,9606,6.11073
203,0,98,93,9606,6.11478
202,0,99,93,9606,6.11665
203,0,99,93,9605,6.11794
204,0,99,93,9604,6.11837
205,0,99,93,9603,6.11885
204,0,100,93,9603,6.12292
205,0,100,93,9602,6.12876
206,0,100,93,9601,6.13086
205,0,101,93,9601,6.13251
204,0,102,93,9601,6.13915
203,0,103,93,9601,6.14253
204,0,103,93,9600,6.14493
204,0,102,94,9600,6.14602
205,0,102,94,9599,6.16057
205,0,101,95,9599,6.16357
206,0,101,95,9598,6.17827
207,0,101,95,9597,6.18573
208,0,101,95,9596,6.18607
208,0,100,96,9596,6.18611
209,0,100,96,9595,6.1927
210,0,100,96,9594,6.19285
210,0,99,97,9594,6.19748
209,0,100,97,9594,6.19824
209,0,99,98,9594,6.20307
208,0,100,98,9594,6.2092
209,0,100,98,9593,6.2189
208,0,101,98,9593,6.22117
208,0,100,99,9593,6.22202
207,0,101,99,9593,6.22224
208,0,101,99,9592,6.22422
208,0,100,100,9592,6.22534
209,0,100,100,9591,6.22793
210,0,100,100,9590,6.23138
211,0,100,100,9589,6.24106
211,0,99,101,9589,6.26476
211,0,98,102,9589,6.2676
212,0,98,102,9588,6.27005
213,0,98,102,9587,6.27646
214,0,98,102,9586,6.28124
213,0,99,102,9586,6.28779
212,0,100,102,9586,6.28818
211,0,101,102,9586,6.29781
210,0,102,102,9586,6.30431
211,0,102,102,9585,6.30729
210,0,103,102,9585,6.31041
209,0,104,102,9585,6.31127
208,0,105,102,9585,6.32058
209,0,105,102,9584,6.32593
210,0,105,102,9583,6.32884
211,0,105,102,9582,6.33082
212,0,105,102,9581,6.34795
211,0,106,102,9581,6.34884
211,0,105,103,9581,6.35295
212,0,105,103,9580,6.35428
213,0,105,103,9579,6.35753
214,0,105,103,9578,6.36071
213,0,106,103,9578,6.36433
214,0,106,103,9577,6.36508
213,0,107,103,9577,6.36686
214,0,107,103,9576,6.37823
213,0,108,103,9576,6.37922
214,0,108,103,9575,6.39804
213,0,109,103,9575,6.40871
214,0,109,103,9574,6.4095
215,0,109,103,9573,6.41492
216,0,109,103,9572,6.43235
217,0,109,103,9571,6.44752
217,0,108,104,9571,6.45231
216,0,109,104,9571,6.45231
216,0,108,105,9571,6.45579
215,0,109,105,9571,6.47393
216,0,109,105,9570,6.47918
215,0,110,105,9570,6.48263
215,0,109,106,9570,6.48348
216,0,109,106,9569,6.48457
217,0,109,106,9568,6.49476
217,0,108,107,9568,6.495
216,0,109,107,9568,6.498
215,0,110,107,9568,6.51773
